 Htr/Hrms  H1/Hrms  H2/Hrms  H1/3/Hrms H1/10/Hrms H1/50/Hrms H1/100/Hrms H1/250/Hrms H1/1000/Hrms
  1.38000  1.05108  1.18628    1.40200    1.64070    1.83933     1.90953     1.99294      2.10389
  1.39000  1.04930  1.18897    1.40287    1.64443    1.84350     1.91386     1.99746      2.10867
  1.40000  1.04758  1.19168    1.40369    1.64817    1.84770     1.91822     2.00201      2.11347
  1.41000  1.04591  1.19440    1.40447    1.65193    1.85192     1.92260     2.00658      2.11829
  1.42000  1.04430  1.19713    1.40521    1.65571    1.85615     1.92700     2.01117      2.12314
  1.43000  1.04275  1.19988    1.40591    1.65951    1.86041     1.93142     2.01578      2.12801
  1.44000  1.04124  1.20264    1.40657    1.66332    1.86468     1.93585     2.02041      2.13290
  1.45000  1.03979  1.20540    1.40719    1.66715    1.86897     1.94031     2.02506      2.13780
  1.46000  1.03838  1.20818    1.40778    1.67099    1.87328     1.94478     2.02973      2.14273
  1.47000  1.03702  1.21097    1.40834    1.67485    1.87761     1.94927     2.03441      2.14768
  1.48000  1.03570  1.21377    1.40887    1.67872    1.88195     1.95378     2.03912      2.15264
  1.49000  1.03443  1.21658    1.40936    1.68260    1.88630     1.95830     2.04383      2.15762
  1.50000  1.03321  1.21939    1.40983    1.68650    1.89067     1.96283     2.04857      2.16262
  1.51000  1.03202  1.22222    1.41028    1.69041    1.89505     1.96738     2.05331      2.16763
  1.52000  1.03087  1.22505    1.41069    1.69433    1.89944     1.97194     2.05807      2.17265
  1.53000  1.02976  1.22789    1.41108    1.69826    1.90385     1.97651     2.06284      2.17769
  1.54000  1.02869  1.23074    1.41145    1.70219    1.90826     1.98110     2.06763      2.18274
  1.55000  1.02765  1.23360    1.41180    1.70614    1.91269     1.98569     2.07243      2.18781
  1.56000  1.02665  1.23646    1.41213    1.71010    1.91713     1.99030     2.07723      2.19288
  1.57000  1.02569  1.23933    1.41244    1.71395    1.92157     1.99492     2.08205      2.19797
  1.58000  1.02475  1.24220    1.41273    1.71764    1.92603     1.99954     2.08688      2.20306
  1.59000  1.02385  1.24508    1.41300    1.72118    1.93049     2.00417     2.09171      2.20817
  1.60000  1.02298  1.24796    1.41325    1.72457    1.93496     2.00882     2.09656      2.21328
  1.61000  1.02214  1.25085    1.41349    1.72783    1.93944     2.01346     2.10141      2.21841
  1.62000  1.02132  1.25374    1.41372    1.73095    1.94392     2.01812     2.10627      2.22353
  1.63000  1.02054  1.25664    1.41393    1.73394    1.94842     2.02278     2.11114      2.22867
  1.64000  1.01978  1.25954    1.41412    1.73681    1.95291     2.02745     2.11601      2.23382
  1.65000  1.01905  1.26244    1.41431    1.73956    1.95741     2.03212     2.12089      2.23896
  1.66000  1.01834  1.26535    1.41448    1.74219    1.96192     2.03680     2.12577      2.24412
  1.67000  1.01765  1.26826    1.41464    1.74472    1.96643     2.04149     2.13066      2.24928
  1.68000  1.01700  1.27117    1.41479    1.74714    1.97095     2.04617     2.13555      2.25444
  1.69000  1.01636  1.27408    1.41492    1.74946    1.97546     2.05086     2.14044      2.25961
  1.70000  1.01574  1.27700    1.41505    1.75168    1.97999     2.05556     2.14534      2.26478
  1.71000  1.01515  1.27992    1.41517    1.75381    1.98451     2.06025     2.15024      2.26996
  1.72000  1.01458  1.28284    1.41528    1.75585    1.98904     2.06495     2.15515      2.27513
  1.73000  1.01403  1.28576    1.41539    1.75781    1.99356     2.06965     2.16005      2.28031
  1.74000  1.01349  1.28868    1.41548    1.75968    1.99809     2.07436     2.16496      2.28549
  1.75000  1.01298  1.29160    1.41557    1.76147    2.00262     2.07906     2.16987      2.29068
  1.76000  1.01248  1.29452    1.41565    1.76319    2.00716     2.08376     2.17478      2.29586
  1.77000  1.01200  1.29745    1.41572    1.76484    2.01169     2.08847     2.17969      2.30104
  1.78000  1.01154  1.30037    1.41579    1.76641    2.01622     2.09317     2.18460      2.30623
  1.79000  1.01110  1.30329    1.41585    1.76792    2.02075     2.09788     2.18951      2.31141
  1.80000  1.01067  1.30621    1.41591    1.76936    2.02528     2.10258     2.19442      2.31660
  1.81000  1.01025  1.30914    1.41596    1.77075    2.02981     2.10729     2.19933      2.32178
  1.82000  1.00985  1.31206    1.41601    1.77207    2.03434     2.11199     2.20424      2.32696
  1.83000  1.00947  1.31498    1.41605    1.77333    2.03887     2.11669     2.20915      2.33214
  1.84000  1.00910  1.31790    1.41609    1.77455    2.04340     2.12139     2.21405      2.33732
  1.85000  1.00874  1.32082    1.41613    1.77571    2.04792     2.12609     2.21895      2.34249
  1.86000  1.00840  1.32373    1.41616    1.77682    2.05245     2.13078     2.22385      2.34767
  1.87000  1.00806  1.32665    1.41618    1.77788    2.05697     2.13548     2.22875      2.35284
  1.88000  1.00774  1.32956    1.41621    1.77889    2.06148     2.14017     2.23365      2.35800
  1.89000  1.00743  1.33247    1.41623    1.77986    2.06600     2.14485     2.23854      2.36317
  1.90000  1.00714  1.33538    1.41625    1.78079    2.07051     2.14954     2.24343      2.36833
  1.91000  1.00685  1.33829    1.41626    1.78168    2.07502     2.15422     2.24831      2.37349
  1.92000  1.00658  1.34120    1.41628    1.78253    2.07953     2.15890     2.25319      2.37864
  1.93000  1.00631  1.34410    1.41629    1.78334    2.08403     2.16357     2.25807      2.38379
  1.94000  1.00605  1.34700    1.41630    1.78412    2.08852     2.16824     2.26294      2.38893
  1.95000  1.00581  1.34990    1.41630    1.78486    2.09302     2.17290     2.26781      2.39407
